A,B,C,D,E,F,ActualX_1,ActualY_1,ActualZ_1,ActualX_2,ActualY_2,ActualZ_2,ActualX_3,ActualY_3,ActualZ_3,ActualX_4,ActualY_4,ActualZ_4,ActualX_5,ActualY_5,ActualZ_5,Error1,Error2,Error3,Error4,Error5,ErrorAverage
A,B,C,D,E,F,ActualX_1,ActualY_1,ActualZ_1,ActualX_2,ActualY_2,ActualZ_2,ActualX_3,ActualY_3,ActualZ_3,ActualX_4,ActualY_4,ActualZ_4,ActualX_5,ActualY_5,ActualZ_5,Error1,Error2,Error3,Error4,Error5,ErrorAverage
0.57,0.37,2.17,0.27,0.97,1.07,2.2,-0.2,0.17,0.05,2.65,0.17,2.27,5.01,0.17,4.5,2.57,0.17,2.08,2.6,0.17,0.4428172758335292,0.2665488165244505,0.2181818377747777,0.3575092199681338,0.3672406081107749,0.3304595516423332A,B,C,D,E,F,ActualX_1,ActualY_1,ActualZ_1,ActualX_2,ActualY_2,ActualZ_2,ActualX_3,ActualY_3,ActualZ_3,ActualX_4,ActualY_4,ActualZ_4,ActualX_5,ActualY_5,ActualZ_5,Error1,Error2,Error3,Error4,Error5,ErrorAverage
0.87,1.67,1.47,1.67,1.97,2.07,2.2,-0.2,0.17,0.05,2.65,0.17,2.27,5.01,0.17,4.5,2.57,0.17,2.08,2.6,0.17,0.2737396910764774,0.37799860356247483,0.4246245798296735,0.48319624822133683,0.306471344199347,0.3732060933778619
A,B,C,D,E,F,ActualX_1,ActualY_1,ActualZ_1,ActualX_2,ActualY_2,ActualZ_2,ActualX_3,ActualY_3,ActualZ_3,ActualX_4,ActualY_4,ActualZ_4,ActualX_5,ActualY_5,ActualZ_5,Error1,Error2,Error3,Error4,Error5,ErrorAverage
0.57,0.47,1.57,0.37,1.17,1.17,2.2,-0.2,0.17,0.05,2.65,0.17,2.27,5.01,0.17,4.5,2.57,0.17,2.08,2.6,0.17,0.16837945647683306,0.2418567747935848,0.2642101150671938,0.22317049457895777,0.1932252129483312,0.21816841077298013
1.87,1.17,0.97,1.47,1.67,1.17,2.2,-0.2,0.17,0.05,2.65,0.17,2.27,5.01,0.17,4.5,2.57,0.17,2.08,2.6,0.17,15.912693807096055,28.228689939839622,0.20377512569253659,9.955205606164585,121.82480277392898,35.22503345054436
0.87,0.47,1.37,0.67,0.27,1.67,2.2,-0.2,0.17,0.05,2.65,0.17,2.27,5.01,0.17,4.5,2.57,0.17,2.08,2.6,0.17,0.07879083241621615,0.2663467989766773,0.21113569430766996,0.2641543618844129,0.13721170080027276,0.19152787767704982
0.67,1.07,1.57,0.87,1.67,0.97,2.2,-0.2,0.17,0.05,2.65,0.17,2.27,5.01,0.17,4.5,2.57,0.17,2.08,2.6,0.17,0.2649125340037596,1.7017645775706571,0.2329831234559312,0.22336954706933618,0.19391436916684962,0.5233888302533066
1.57,1.57,1.07,0.17,0.87,0.97,2.2,-0.2,0.17,0.05,2.65,0.17,2.27,5.01,0.17,4.5,2.57,0.17,2.08,2.6,0.17,0.9060374095163538,0.3131242111617538,1.2634279343341293,1.7641832659840597,0.9438274783619622,1.0381200598716518
0.77,0.57,1.77,1.07,1.97,0.97,2.2,-0.2,0.17,0.05,2.65,0.17,2.27,5.01,0.17,4.5,2.57,0.17,2.08,2.6,0.17,0.2733622524856809,5.655061287863592,0.20958522369376287,0.2206790184053389,0.13711325018539372,1.2991602065267538
1.67,0.97,1.77,1.67,0.87,0.57,2.2,-0.2,0.17,0.05,2.65,0.17,2.27,5.01,0.17,4.5,2.57,0.17,2.08,2.6,0.17,0.17032838027898334,0.21940702658281613,10834.517283300349,0.3290226529811865,0.22162397895824296,2167.09153306783
