,Actual,Predicted
0,[3.2  4.   0.17],[3.2067957  3.998642   0.23181474]
1,[4.   0.8  1.37],[4.009222  0.7903384 1.4624599]
2,[4.   1.6  1.17],[4.0136313 1.6048236 1.2556481]
3,[4.   3.2  0.77],[3.9825864 3.2073083 0.7551707]
4,[4.   2.4  0.57],[4.013646   2.3637397  0.58269674]
5,[1.6  0.8  0.57],[1.6882219  0.82685924 0.7205873 ]
6,[2.4  2.4  2.17],[2.4116628 2.380889  2.2300434]
7,[2.4  4.   0.57],[2.4153328 3.9887762 0.6208039]
8,[4.   2.4  1.57],[3.9885173 2.400937  1.5944586]
9,[0.8  2.4  0.37],[0.7686486  2.416144   0.31382656]
10,[2.4  1.6  1.97],[2.4147768 1.5979633 1.9891218]
11,[2.4  3.2  1.57],[2.403765  3.2061124 1.5825546]
12,[3.2  4.   1.17],[3.1983213 3.967187  1.4717455]
13,[3.2  3.2  0.97],[3.174752  3.1947618 0.9479172]
14,[3.2  4.   0.97],[3.2025476 3.99963   1.025894 ]
15,[0.8  4.   1.77],[0.8203678 3.9970403 1.7150822]
16,[0.8  0.8  2.17],[0.8153882 0.8058547 2.2566051]
17,[0.8  3.2  0.17],[0.79573274 3.1959155  0.        ]
18,[1.6  1.6  2.17],[1.5936284 1.6068375 2.1729112]
19,[0.8  2.4  1.37],[0.76903486 2.4002526  1.2440705 ]
20,[3.2  2.4  1.77],[3.2052832 2.3959646 1.7500893]
21,[3.2  2.4  1.17],[3.2213073 2.403014  1.3053194]
22,[0.8  3.2  0.17],[0.80610764 3.1912675  0.        ]
23,[4.   1.6  0.17],[3.9914958  1.6088523  0.19464713]
24,[4.   2.4  0.57],[3.9892492 2.3866735 0.5833735]
25,[2.4  4.   0.17],[2.413063  3.988038  0.1612786]
26,[2.4  4.   0.57],[2.423328  3.986384  0.5793176]
27,[2.4  1.6  2.17],[2.4003153 1.5923821 2.1545067]
28,[1.6  2.4  0.17],[1.6171168  2.4176965  0.18167067]
29,[2.4  2.4  0.17],[2.393959   2.3889372  0.16919231]
30,[3.2  3.2  0.17],[3.196904   3.189012   0.16461074]
