,Actual,Predicted
0,[2.4  3.2  1.37],[2.3805175 3.1898263 0.5793622]
1,[2.4  0.8  2.17],[2.3150969 0.6221405 1.7120428]
2,[1.6  4.   0.57],[0.5723632  4.477748   0.97683555]
3,[1.6  1.6  1.77],[1.4518396 1.6639541 1.4822973]
4,[4.   1.6  0.97],[3.794264  1.6706328 0.6919972]
5,[1.6  0.8  0.77],[1.2714921 0.8874136 1.24665  ]
6,[0.8  3.2  0.17],[0.6535348 3.522563  1.0639691]
7,[0.8  0.8  0.17],[0.7499968 1.0923775 1.3417027]
8,[3.2  2.4  0.77],[2.937304  2.3179612 1.3693714]
9,[2.4  2.4  0.17],[2.4654381 2.4057622 1.1407412]
10,[1.6  1.6  1.37],[1.5897126 1.749089  1.5189345]
11,[0.8  4.   0.77],[0.09746945 4.649825   1.2303305 ]
12,[4.   0.8  1.57],[4.091617   0.90661526 1.0279589 ]
13,[4.   0.8  0.97],[4.086494  0.9093785 1.0279866]
14,[2.4  2.4  1.37],[2.1674914 2.0718343 1.6938299]
15,[2.4  3.2  1.77],[2.3915782 3.2598193 1.1348395]
16,[4.   3.2  0.97],[4.1704707 3.222532  1.2332478]
17,[4.   1.6  2.17],[4.0871344 1.5688757 2.1555328]
18,[2.4  4.   1.17],[2.2547927 3.482665  1.0793498]
19,[0.8  3.2  0.77],[0.7100264 3.4252508 1.0621353]
20,[1.6  0.8  0.37],[1.2733454  0.88546765 1.2464697 ]
21,[1.6  3.2  2.17],[2.5579557 2.0970216 1.190586 ]
22,[2.4  3.2  1.57],[2.3862674  3.226552   0.58610046]
23,[3.2  4.   1.77],[3.2271905 4.1039248 1.4492764]
24,[1.6  3.2  0.17],[1.5530007 3.0726886 1.5144898]
25,[4.   4.   1.17],[3.7359996 3.9992347 1.1040366]
26,[1.6  2.4  1.57],[1.6201708 2.3161736 1.4342549]
27,[4.   3.2  1.17],[4.3442717 3.2697117 1.3663743]
28,[1.6  0.8  1.17],[1.2711728 0.8753507 1.2482859]
29,[2.4  2.4  1.37],[1.5003742 2.721514  1.6123669]
30,[2.4  0.8  1.97],[2.245101   0.59032583 1.5673718 ]
31,[2.4  3.2  1.57],[2.4442568 3.2847407 0.8423172]
32,[1.6  0.8  0.77],[1.2720809 0.9122876 1.2432929]
33,[2.4  4.   0.37],[2.4039733 3.7844853 0.6235341]
34,[3.2  3.2  1.57],[3.3933828  3.9685235  0.26016116]
35,[0.8  3.2  1.77],[1.0807555 3.189398  1.0593092]
36,[4.   1.6  0.57],[3.825504   1.6653757  0.68201697]
37,[0.8  0.8  1.97],[0.74674493 1.0845231  1.3434775 ]
38,[2.4  2.4  1.17],[2.936105  1.9032662 1.2425241]
39,[0.8  3.2  2.17],[0.6839807 3.470117  1.0629809]
40,[3.2  3.2  2.17],[3.402727 3.263537 1.477613]
41,[3.2  4.   1.37],[3.1610081 4.225977  1.7096817]
42,[4.   0.8  0.97],[4.082981   0.91127336 1.0280056 ]
43,[0.8  1.6  1.57],[0.8237671 1.2705649 1.3014382]
44,[3.2  1.6  0.57],[2.5365372 1.9780254 1.1352254]
45,[4.   1.6  0.57],[3.8225968 1.6657155 0.6832963]
46,[4.   1.6  1.37],[3.8848238 1.4794381 1.0619977]
47,[2.4  0.8  0.17],[1.9974909 0.9992447 1.1328498]
48,[0.8  0.8  2.17],[0.7608952 1.1187019 1.3357542]
49,[0.8  3.2  2.17],[0.9481425 3.3782444 1.0627087]
50,[0.8  0.8  0.77],[0.7327294 1.0506693 1.3511274]
51,[4.   2.4  0.57],[4.263088  2.2403958 1.6331197]
52,[0.8  0.8  0.17],[0.7640111 1.1262282 1.3340535]
53,[4.   4.   2.17],[3.4797378 3.721255  1.3950742]
54,[2.4  2.4  0.57],[2.582504  2.250428  1.7032653]
55,[2.4  3.2  0.97],[2.38343   3.152847  0.5816505]
56,[1.6  4.   0.77],[0.6688458 4.3339076 0.9712418]
57,[2.4  3.2  2.17],[1.9921744 2.1561995 1.1938896]
58,[0.8  4.   1.57],[0.44470417 4.1815815  1.3327997 ]
59,[2.4  4.   0.77],[2.715397   4.1846657  0.45585042]
60,[4.   4.   0.57],[3.799467  4.16998   0.6172096]
61,[0.8  3.2  0.97],[0.8757996 3.13969   1.0567542]
62,[0.8  4.   0.97],[0.7212152 3.405977  1.0617721]
63,[0.8  2.4  0.17],[2.2205048 2.3598979 1.2267731]
64,[0.8  0.8  0.57],[0.7320713 1.0490798 1.3514866]
65,[3.2  0.8  1.37],[2.5122745 0.8746021 1.5083914]
66,[3.2  4.   0.57],[2.747039   4.094782   0.45735937]
67,[2.4  0.8  1.37],[2.037028  0.73717   1.0911441]
68,[0.8  1.6  1.37],[0.8056847 1.226888  1.3113078]
69,[0.8  1.6  0.17],[1.5350975 1.8522223 1.0603032]
70,[3.2  4.   1.97],[3.0955215 4.077346  0.9794758]
71,[3.2  1.6  1.17],[2.7690692 2.11397   1.2450352]
72,[3.2  3.2  1.77],[3.4972215  3.5733116  0.93090695]
73,[3.2  4.   0.57],[2.708251   3.8596191  0.50942975]
74,[3.2  0.8  1.77],[2.4234014 1.1238557 1.4385539]
75,[4.   0.8  1.97],[4.0924635 0.9061587 1.0279543]
76,[3.2  0.8  0.57],[2.4035034 0.9052439 1.44551  ]
77,[3.2  4.   0.17],[2.700716   3.9939852  0.48139018]
78,[0.8  4.   0.37],[0.1753509 4.346282  1.0794915]
79,[1.6  3.2  0.17],[1.4975082 2.9240112 1.5033962]
80,[2.4  4.   0.37],[2.541118   3.9670749  0.52800936]
81,[2.4  4.   0.97],[2.5389435  3.9182508  0.68613064]
82,[4.   0.8  0.97],[4.0828366 0.9113512 1.0280064]
83,[4.   1.6  0.57],[3.8251703 1.6650505 0.6829227]
84,[2.4  3.2  0.77],[2.2338955 3.0100038 0.6664585]
85,[4.   4.   0.17],[3.6302867  4.1341257  0.37466347]
86,[2.4  0.8  0.37],[1.8878516  0.99812007 1.0886186 ]
87,[2.4  4.   1.57],[2.3101463 3.5307288 1.1281943]
88,[2.4  0.8  0.97],[2.1034856 0.9687412 1.2978058]
89,[2.4  1.6  1.57],[2.2574637 1.9743409 1.4429405]
90,[4.   3.2  0.97],[4.178674  3.2220764 1.2748804]
91,[2.4  0.8  0.97],[2.0760696 1.1512511 1.1661943]
92,[1.6  0.8  0.17],[1.289656  1.0417912 1.2224319]
93,[0.8  2.4  1.77],[2.1597273 2.3634539 1.2146822]
94,[4.   4.   1.17],[3.726226  3.9885716 1.1161053]
95,[2.4  0.8  1.37],[2.1134806 0.7503319 1.1532023]
96,[0.8  1.6  0.97],[0.8755808 1.3957174 1.2731578]
97,[2.4  3.2  0.17],[2.2476754  2.923032   0.67364776]
98,[2.4  4.   1.97],[2.5015645 3.767435  1.0567231]
