Row,tag position index,Estimation iteration,Actual x,Actual y,Actual z,Estimated x,Estimated y,Estimated z,Error x,Error y,Error z,Error distance
0,0,0,2.2,-0.2,0.17,2.2335761705131754,-0.2908251816483636,11.46404994944835,0.033576170513175185,-0.09082518164836356,11.29404994944835,11.294465053001938
0,0,1,2.2,-0.2,0.17,2.2132606398558345,-0.2698023349529763,4.47140472043213,0.013260639855834366,-0.06980233495297627,4.30140472043213,4.301991489936967
0,0,2,2.2,-0.2,0.17,2.204705654897382,-0.27462976533517863,1.0978775374095973,0.004705654897381617,-0.07462976533517862,0.9278775374095972,0.9308858520201581
0,0,3,2.2,-0.2,0.17,2.208217763263827,-0.22882033773770297,0.895261690884087,0.00821776326382695,-0.028820337737702956,0.725261690884087,0.7258806126109311
0,0,4,2.2,-0.2,0.17,2.19908954861908,-0.15790428433828158,-0.021874368416779446,-0.0009104513809203851,0.042095715661718436,-0.19187436841677946,0.19643994363195916
0,0,5,2.2,-0.2,0.17,2.2124478032964574,-0.15511367647160876,0.5297135414398241,0.012447803296457227,0.04488632352839125,0.35971354143982404,0.36271691681252294
0,0,6,2.2,-0.2,0.17,2.211612409491977,-0.1398931796959158,0.45432345788212813,0.011612409491976727,0.06010682030408421,0.2843234578821281,0.29083931406074914
0,0,7,2.2,-0.2,0.17,2.2054028652681086,-0.15986228100218777,0.5779040692553898,0.005402865268108403,0.04013771899781224,0.4079040692553898,0.4099096939016672
0,0,8,2.2,-0.2,0.17,2.186344088567429,-0.16174913366887367,-0.02328878724146958,-0.013655911432571166,0.03825086633112634,-0.19328878724146958,0.19750991865071996
0,0,9,2.2,-0.2,0.17,2.199346710543228,-0.23020802295903742,0.8463814137223993,-0.0006532894567721215,-0.030208022959037406,0.6763814137223992,0.6770559565259872
0,0,10,2.2,-0.2,0.17,2.1961199281826205,-0.2557653792884255,0.9180725955490837,-0.0038800718173797044,-0.05576537928842551,0.7480725955490837,0.7501582770962625
0,0,11,2.2,-0.2,0.17,2.188819361511062,-0.2856756745416081,1.0346648785369594,-0.011180638488938133,-0.08567567454160807,0.8646648785369594,0.8689710467331547
0,0,12,2.2,-0.2,0.17,2.1884602215911757,-0.29502825391491566,1.0664728476169072,-0.011539778408824475,-0.09502825391491565,0.8964728476169072,0.9015692441749601
0,0,13,2.2,-0.2,0.17,2.194767209676363,-0.29196176347068464,1.0557866172785666,-0.005232790323637104,-0.09196176347068463,0.8857866172785666,0.8905629002967814
0,0,14,2.2,-0.2,0.17,2.2063151994812404,-0.2676977063776363,0.9317725956133086,0.006315199481240263,-0.06769770637763628,0.7617725956133086,0.7648008555308485
0,0,15,2.2,-0.2,0.17,2.2096032600873543,-0.2519145107069875,0.8662515971700456,0.009603260087354126,-0.05191451070698749,0.6962515971700456,0.6982504032136972
0,0,16,2.2,-0.2,0.17,2.2101271947297416,-0.23095467203879175,0.7251589374053553,0.01012719472974144,-0.030954672038791736,0.5551589374053553,0.5561134754482815
0,0,17,2.2,-0.2,0.17,2.198655429635652,-0.2397358505355538,0.7738451696389916,-0.0013445703643482076,-0.039735850535553785,0.6038451696389916,0.6051526539507127
0,0,18,2.2,-0.2,0.17,2.1833549054925396,-0.2581256831127626,0.8641519683020737,-0.016645094507460545,-0.058125683112762616,0.6941519683020737,0.6967801728709929
0,0,19,2.2,-0.2,0.17,2.1668610521136737,-0.29105265365563615,1.039452991325684,-0.03313894788632643,-0.09105265365563614,0.869452991325684,0.8748355729678153
0,0,20,2.2,-0.2,0.17,2.1532375608592256,-0.3037998193120161,1.1115408740451134,-0.0467624391407746,-0.1037998193120161,0.9415408740451133,0.9483988326127557
0,0,21,2.2,-0.2,0.17,2.143949667442153,-0.31904002509998697,1.1994318552533838,-0.05605033255784697,-0.11904002509998696,1.0294318552533839,1.0378063942595817
0,0,22,2.2,-0.2,0.17,2.1443918478477038,-0.308811540655617,1.1836870602688567,-0.05560815215229642,-0.10881154065561699,1.0136870602688568,1.0210257950327009
0,0,23,2.2,-0.2,0.17,2.1567874797072464,-0.2875229541264913,1.1214570058095146,-0.0432125202927538,-0.0875229541264913,0.9514570058095145,0.9564507427531677
0,0,24,2.2,-0.2,0.17,2.1715430717120334,-0.2413655984984413,0.9378581860445638,-0.028456928287966754,-0.04136559849844129,0.7678581860445638,0.7694979554114284
0,0,25,2.2,-0.2,0.17,2.1656645934976875,-0.17729161894055864,-0.025756212727119403,-0.034335406502312704,0.022708381059441368,-0.1957562127271194,0.20003771027305095
0,0,26,2.2,-0.2,0.17,2.1697920078766066,-0.17891228652867144,-0.024540258816739,-0.030207992123393534,0.021087713471328567,-0.194540258816739,0.19799779480605248
0,0,27,2.2,-0.2,0.17,2.1743021733880146,-0.18276805820364975,-0.023873037170497335,-0.025697826611985608,0.017231941796350264,-0.19387303717049734,0.19632644409851038
0,0,28,2.2,-0.2,0.17,2.186047082300865,-0.19652995850435703,-0.020371009241431554,-0.013952917699135092,0.003470041495642978,-0.19037100924143158,0.19091319037693952
0,0,29,2.2,-0.2,0.17,2.2086166789117674,-0.22313283365250422,0.5298768440768885,0.008616678911767206,-0.02313283365250421,0.35987684407688847,0.36072249451760563
0,0,30,2.2,-0.2,0.17,2.2189184015541823,-0.23436227083627764,0.47329454760914186,0.018918401554182118,-0.03436227083627763,0.3032945476091419,0.30582062419631706
0,0,31,2.2,-0.2,0.17,2.222821983847355,-0.21671556816671178,0.3963295406566905,0.022821983847354677,-0.01671556816671177,0.2263295406566905,0.22809058318951578
